Chamber_Pressure_bar,O/F,T_chamber_K,T_exit_Frozen_K,T_exit_Shift_K,M_exit_Frozen,M_exit_Shift,Velocity_exit_Frozen_m_s,Velocity_exit_Shift_m_s,Isp_Frozen_s,Isp_Equilibrium_s,X_H2O,X_H2,X_OH,X_O2,X_H
50,2.0,2075.1854034409953,824.4879077907657,825.6347638434314,6.046968352066899,6.048000000042438,3840.983498783391,3842.6848243646145,391.6713147490113,391.844801676884,0.2520157509875312,0.7479842490054344,1.0245908678828196e-15,3.0449571253374893e-27,7.0332461860050075e-12
50,2.1,2144.6591085396108,862.4477484891584,864.2215043745598,6.247968666675895,6.249599999929554,3851.3645442718753,3853.841584962562,392.72988678823816,392.9824746434881,0.26461653853110256,0.7353834614394665,6.954867524712575e-15,8.607456191967887e-26,2.942411658464603e-11
50,2.2,2212.4351107765424,900.222259526848,902.8697433008281,6.448712399862665,6.45119999965325,3859.9703558046713,3863.4569498451874,393.60743534282057,393.9629689899392,0.2772173260680489,0.7227826738227167,4.0346806374306075e-14,1.8565173187978188e-24,1.0919414803248145e-10
50,2.3,2278.4921716834187,937.7446344039826,941.5743628131389,6.649127454094706,6.652800001125238,3866.914344988399,3871.6769458637646,394.31552517815965,394.80117531101496,0.2898181137252151,0.7101818859099647,2.0380300066786904e-13,3.1549488239421107e-23,3.6461649084959365e-10
50,2.4,2342.8028385724574,974.9555142383475,980.3442383060931,6.849133029794203,6.854399997269468,3872.2942661039738,3878.62788182427,394.86412445676905,395.5099735204448,0.30241890107968816,0.6975810978101534,9.111157224977393e-13,4.344491733070415e-22,1.1092473890412793e-09
50,2.5,2405.3363677227917,1011.7979346734406,1019.1863229802844,7.048641169781535,7.05599998902665,3876.196327875076,3884.4188843766233,395.2620240219724,396.10049143964795,0.3150196882369992,0.6849803086523101,3.654910940628682e-12,4.963901645507296e-21,3.107035881888415e-09
50,2.6,2466.0616882443305,1048.1329237637233,1058.014744035798,7.2475587174390474,7.257599970687369,3878.7005664501316,3889.1470600801067,395.51738528958737,396.582631181913,0.3276204749434481,0.6723795169759733,1.3273627961369646e-11,4.7784747092911074e-20,8.067304957195987e-09
50,2.7,2524.9501771915047,1083.8608583376233,1096.8032030159995,7.445789534988844,7.459199926927722,3879.8850072287196,3892.9001253000365,395.6381646361112,396.9653373272256,0.3402212604528465,0.659778719941539,4.407093505991734e-11,3.941277609755647e-19,1.956154359264294e-08
50,2.8,2581.978044204872,1118.9121131807126,1135.5425985706527,7.643236803022837,7.660799828864778,3879.825031928483,3895.755461007887,395.63204885750827,397.2565005387046,0.35282204336514655,0.6471779118989941,1.349799646230019e-10,2.8287452841505244e-18,4.4600879229946993e-08
50,2.9,2637.1281759221088,1153.224044930105,1174.2254757203493,7.839805221929608,7.862399621495844,3878.594412646251,3897.7814494015015,395.5065606140987,397.463093859932,0.36542282096990325,0.6345770824514292,3.843774984704917e-10,1.7908141119154304e-17,9.619428980513736e-08
50,3.0,2690.3913580103317,1186.741987291148,1212.8458368339136,8.035402959398864,8.063999200399646,3876.266000197234,3899.038724401853,395.2691286216225,397.591300230135,0.3780235879682911,0.6219762137181142,1.0247545862453014e-09,1.012009276050969e-16,1.972888395497946e-07
